Source_Database_Code,PatientID,PatientFirstName,PatientMiddleName,PatientLastName,PatientAddress,PatientAddress2,PatientCity,PatientState,PatientZip,PatientDOB,PatientPhone,PatientGender,ResponsiblePartyFirstName,ResponsiblePartyMiddleName,ResponsiblePartyLastName,ResponsiblePartyAddress,ResponsiblePartyAddress2,ResponsiblePartyCity,ResponsiblePartyState,ResponsiblePartyZip,ResponsiblePartyPhone,PatientSSN,PatientSuffix,PatientCellPhone,ResponsiblePartySSN,ResponsiblePartySuffix,ResponsiblePartyCellPhone,ResponsiblePartyDOB,Imagine_Propensity_to_Pay_Grade,Imagine_Propensity_to_Pay_Description,Bad_Address_Indicator,PatientRace,PatientEthnicity,patEmail,tbl_Refresh_Date,PatientPhone_norm,ResponsiblePartyPhone_norm,PatientCellPhone_norm,ResponsiblePartyCellPhone_norm,_phone_institutional_flag,_pk_composite
NRA,1003032,CAROL,,ANDERSON,8668 LAKE PL,,FRANKLIN,TN,37064,2001-03-02,,F,CAROL,,ANDERSON,3791 MAIN AVE,,MOUNT JULIET,TN,37122,,,,,,,,2001-03-02,,,1.0,Black or African American,Not Hispanic,CAROLAND951@OUTLOOK.COM,2026-05-01,,,,,False,NRA:1003032
PMR,1003036,GEORGE,D,ROBINSON,6749 PARK CIR,,LEBANON,TN,37087,1957-12-29,(865)365-7162,M,GEORGE,D,ROBINSON,6531 LAKE ST,,LEBANON,TN,37087,(423)493-0390,999-85-6526,,,999-85-6526,,,1957-12-29,,,0.0,,Not Hispanic,,2026-05-01,8653657162,4234930390,,,False,PMR:1003036
RADS,1003039,SANDRA,,WRIGHT,3260 MAPLE AVE,,KNOXVILLE,TN,37902,1994-08-30,(865)445-3495,F,SANDRA,,WRIGHT,8892 CEDAR DR,,KNOXVILLE,TN,37902,(901)445-8746,,,,999-23-1933,,,1994-08-30,,,0.0,White,,SANDRAWRI849@AOL.COM,2026-05-01,8654453495,9014458746,,,False,RADS:1003039
GSIA,1003041,MARIA,,SCOTT,1562 PARK ST,,PLANO,TX,75023,1950-12-17,(713)291-9794,F,MARIA,,SCOTT,8600 ELM PL,,PLANO,TX,75023,(713)291-9794,999-63-4957,,,999-20-1123,,,1950-12-17,F,,0.0,Black or African American,,MARIASCO464@YAHOO.COM,2026-05-01,7132919794,7132919794,,,False,GSIA:1003041
RADH,1003042,LINDA,F,LEE,2610 SPRING CT,,HOUSTON,TX,77001,1986-01-14,(972)596-1520,F,LINDA,F,LEE,5783 RIVER DR,,SAN ANTONIO,TX,78201,(214)844-4042,,,,,,,1986-01-14,,,0.0,,,,2026-05-01,9725961520,2148444042,,,False,RADH:1003042
RADE,1003044,BARBARA,G,WALKER,204 OAK BLVD,,TAMPA,FL,33601,1962-05-13,(904)873-0677,F,BARBARA,G,WALKER,7541 PINE WAY,,FORT LAUDERDALE,FL,33301,(954)271-9310,999-62-9604,,,999-62-9604,,,1966-03-27,,,0.0,White,,BARBARAWAL845@HOTMAIL.COM,2026-05-01,9048730677,9542719310,,,False,RADE:1003044
RADN,1003045,CHRISTOPHER,L,WALKER,3439 PARK LN,,TOLEDO,OH,43601,1977-10-11,(614)706-9615,M,CHRISTOPHER,L,WALKER,5952 OAK LN,,TOLEDO,OH,43601,(614)706-9615,,,,,,,1977-10-11,C,,0.0,Black or African American,,CHRISTOPHERWAL951@AOL.COM,2026-05-01,6147069615,6147069615,,,False,RADN:1003045
RADI2,1003047,JENNIFER,W,DAVIS,2035 RIVER AVE,,DAYTON,OH,45401,1946-04-13,(216)618-3299,F,JENNIFER,W,DAVIS,4055 CEDAR LN,,TOLEDO,OH,43601,(330)913-7891,999-87-3743,,,999-87-3743,,,1946-04-13,D,,1.0,,,,2026-05-01,2166183299,3309137891,,,False,RADI2:1003047
RADY,1003050,PAUL,D,LEWIS,,,AKRON,OH,44301,1953-05-24,(614)781-3913,M,PAUL,D,LEWIS,6358 SUNSET DR,,AKRON,OH,44301,(513)900-5141,999-87-7984,,,,,,,,,0.0,,,,2026-05-01,6147813913,5139005141,,,False,RADY:1003050
RADG,1003052,BARBARA,H,TAYLOR,6871 ELM RD,,FRANKLIN,TN,37064,1999-02-06,(615)741-3632,F,BARBARA,H,TAYLOR,3847 PINE DR,,LEBANON,TN,37087,(615)741-3632,999-63-5308,,,999-63-5308,,,1999-02-06,,,0.0,White,,,2026-05-01,6157413632,6157413632,,,False,RADG:1003052
TRI,1003054,BRIAN,Z,JACKSON,7001 LAKE CT,,KNOXVILLE,TN,37902,1946-10-22,(901)347-8529,M,BRIAN,Z,JACKSON,9422 PINE RD,,LEBANON,TN,37087,(423)516-3576,999-72-2977,,,999-82-7997,,,1966-02-14,,,0.0,White,,,2026-05-01,9013478529,4235163576,,,False,TRI:1003054
RADL,1003057,MICHELLE,F,RIVERA,1815 OAK DR,,NASHVILLE,TN,37201,2007-06-20,,F,MICHELLE,F,RIVERA,6591 SCHOOL CIR,,NASHVILLE,TN,37201,,,,,,,,2004-07-20,B,,0.0,White,,,2026-05-01,,,,,False,RADL:1003057
RADB,1003060,CYNTHIA,Z,NGUYEN,7189 OAK ST,,AUSTIN,TX,78701,1941-06-23,(210)475-6385,F,CYNTHIA,Z,NGUYEN,4334 SPRING CIR,,PLANO,TX,75023,(210)475-6385,999-32-6352,,,999-32-6352,,,1960-04-22,,,0.0,White,,,2026-05-01,2104756385,2104756385,,,False,RADB:1003060
RADE,1003062,MICHAEL,,RIVERA,6783 PINE BLVD,,MIAMI,FL,33101,1997-10-05,(954)209-8085,M,MICHAEL,,RIVERA,7362 MAPLE RD,,ORLANDO,FL,32801,(813)435-0250,,,,,,,1997-10-05,E,Low,0.0,White,,,2026-05-01,9542098085,8134350250,,,False,RADE:1003062
SAPA,1003064,CYNTHIA,G,JACKSON,884 SCHOOL AVE,,HOUSTON,TX,77001,1952-05-17,(214)927-8906,F,CYNTHIA,G,JACKSON,9049 OAK DR,,PLANO,TX,75023,(512)986-8819,,,,,,,1952-05-17,B,High,0.0,White,,CYNTHIAJAC235@AOL.COM,2026-05-01,2149278906,5129868819,,,False,SAPA:1003064
RADQ,1003067,NANCY,D,WHITE,4717 OAK DR,,HENDERSON,NV,89002,1979-11-28,(775)417-8616,F,NANCY,D,WHITE,6081 MAIN CT,,CARSON CITY,NV,89701,(775)817-7090,,,,,,,1979-11-28,C,,0.0,White,Not Hispanic,,2026-05-01,7754178616,7758177090,,,False,RADQ:1003067
PXP,1003068,CHARLES,,KING,2789 SCHOOL DR,,TAMPA,FL,33601,1971-08-22,(813)224-4162,M,CHARLES,,KING,5370 CHURCH WAY,,FORT LAUDERDALE,FL,33301,(813)224-4162,999-12-6580,,,999-12-6580,,,1971-08-22,A,,,Asian,Not Hispanic,CHARLESKIN997@HOTMAIL.COM,2026-05-01,8132244162,8132244162,,,False,PXP:1003068
RADN,1003069,SARAH,,MITCHELL,,,CLEVELAND,OH,44101,1970-01-03,(330)376-3256,F,SARAH,,MITCHELL,6300 CHURCH PL,,AKRON,OH,44301,(330)376-3256,,,,999-94-8766,,,1970-01-03,,,0.0,,,,2026-05-01,3303763256,3303763256,,,False,RADN:1003069
RADA,1003072,DEBORAH,G,PEREZ,2670 CHURCH DR,,KNOXVILLE,TN,37902,1986-02-07,(423)584-5267,F,DEBORAH,G,PEREZ,9864 ELM CIR,,FRANKLIN,TN,37064,(423)584-5267,999-25-8484,,,,,,1986-02-07,C,,0.0,,,DEBORAHPER313@GMAIL.COM,2026-05-01,4235845267,4235845267,,,False,RADA:1003072
MRB,1003074,LARRY,,FLORES,7595 CHURCH PL,,MURFREESBORO,TN,37128,1995-09-02,(615)675-8463,M,LARRY,,FLORES,1475 MAPLE PL,,FRANKLIN,TN,37064,,,,,999-71-6484,,,1995-09-02,,,0.0,,,,2026-05-01,6156758463,6156758463,,,False,MRB:1003074
RADB,1003077,JASON,,KING,9658 PARK WAY,,AUSTIN,TX,78701,1948-11-29,(972)518-0565,M,JASON,,KING,6942 MAPLE BLVD,,SAN ANTONIO,TX,78201,,999-32-1504,,,999-32-1504,,,1975-06-04,A,,,White,,JASONKIN672@OUTLOOK.COM,2026-05-01,9725180565,9725180565,,,False,RADB:1003077
NRA,1003080,MARIA,A,GARCIA,3224 CEDAR PL,,NASHVILLE,TN,37201,1960-06-13,(423)414-9093,F,MARIA,A,GARCIA,1416 HILL RD,,LEBANON,TN,37087,(423)414-9093,,,,,,,1960-06-13,,,0.0,White,,,2026-05-01,4234149093,4234149093,,,False,NRA:1003080
RADN,1003081,LINDA,,BROWN,4166 MAPLE LN,,AKRON,OH,44301,1987-11-25,(419)501-6730,F,LINDA,,BROWN,6565 CHURCH DR,,DAYTON,OH,45401,(419)501-6730,999-35-5363,,,,,,1981-07-18,,,0.0,,,,2026-05-01,4195016730,4195016730,,,False,RADN:1003081
RADQ,1003083,MATTHEW,,HARRIS,3911 ELM LN,,LAS VEGAS,NV,89101,1963-06-02,(775)369-0126,M,MATTHEW,,HARRIS,9174 OAK LN,,NORTH LAS VEGAS,NV,89030,(702)287-5039,,,,999-63-9559,,,1963-06-02,,,1.0,,,MATTHEWHAR16@GMAIL.COM,2026-05-01,7753690126,7022875039,,,False,RADQ:1003083
CIRPA,1003086,PATRICIA,M,CLARK,2183 SUNSET ST,,ST PETE,FL,33701,1948-03-30,(904)920-7218,F,PATRICIA,M,CLARK,7497 CHURCH DR,,TAMPA,FL,33601,(954)374-3985,999-58-7451,,,999-37-5368,,,1948-03-30,D,Medium,0.0,,,,2026-05-01,9049207218,9543743985,,,False,CIRPA:1003086
ESR,1003087,DANIEL,,TAYLOR,8302 AMANA ST,,ORLANDO,FL,32801,1950-11-22,(407)258-2089,M,DANIEL,,TAYLOR,8659 MAPLE RD,APT 110,ST PETE,FL,33701,(904)457-5282,999-20-4071,,,999-19-9776,,,1950-11-22,,,0.0,,Not Hispanic,,2026-05-01,4072582089,9044575282,,,False,ESR:1003087
SMED,1003089,ANTHONY,G,MITCHELL,5767 ELM ST,,HOUSTON,TX,77001,1946-09-12,(210)609-8431,M,ANTHONY,G,MITCHELL,6173 PARK CIR,,PLANO,TX,75023,(210)609-8431,999-56-3406,,,999-69-3618,,,1946-09-12,,,0.0,,,,2026-05-01,2106098431,2106098431,,,False,SMED:1003089
RADS,1003093,EDWARD,D,LEWIS,9813 PINE ST,,FRANKLIN,TN,37064,2007-03-04,(615)750-7398,M,EDWARD,D,LEWIS,1739 PINE PL,,LEBANON,TN,37087,(615)750-7398,999-38-3406,,,999-38-3406,,,2007-03-04,C,,0.0,White,,,2026-05-01,6157507398,6157507398,,,False,RADS:1003093
GSIA,1003095,MARIA,W,WRIGHT,4162 RIVER CT,,PLANO,TX,75023,1995-02-16,(817)944-8558,F,MARIA,W,WRIGHT,5547 SCHOOL BLVD,,AUSTIN,TX,78701,(512)543-2333,999-34-9339,,,999-24-8884,,,1995-02-16,,,0.0,,,MARIAWRI563@GMAIL.COM,2026-05-01,8179448558,5125432333,,,False,GSIA:1003095
RADI2,1003097,ELIZABETH,M,MITCHELL,7569 RIVER AVE,,COLUMBUS,OH,43201,1995-11-29,(419)473-9126,F,ELIZABETH,M,MITCHELL,5179 CHURCH CT,,TOLEDO,OH,43601,(419)473-9126,,,,,,,1995-11-29,,,0.0,,Not Hispanic,,2026-05-01,4194739126,4194739126,,,False,RADI2:1003097
RADX,1003100,SUSAN,,WALKER,8375 ELM AVE,,FORT WORTH,TX,76101,1980-05-03,(972)210-7675,F,SUSAN,,WALKER,7718 MAIN LN,,AUSTIN,TX,78701,,999-97-5151,,,999-97-5151,,,1980-05-03,E,,0.0,,,SUSANWAL822@AOL.COM,2026-05-01,9722107675,,,,False,RADX:1003100
RASFA,1003102,SARAH,A,JACKSON,2010 OAK ST,,PLANO,TX,75023,1999-03-20,(210)768-9533,F,SARAH,A,JACKSON,8750 CEDAR DR,,AUSTIN,TX,78701,(210)245-5094,999-62-5059,,,999-89-4964,,,1999-03-20,F,Very Low,,Hispanic,,,2026-05-01,2107689533,2102455094,,,False,RASFA:1003102
RADO,1003104,LISA,,ADAMS,8806 MAPLE LN,,TAMPA,FL,33601,1999-10-14,(954)710-1623,F,LISA,,ADAMS,9760 SPRING RD,,FORT LAUDERDALE,FL,33301,(813)527-7203,,,,,,,1976-04-21,E,,,,,LISAADA494@HOTMAIL.COM,2026-05-01,9547101623,8135277203,,,False,RADO:1003104
TRI,1003105,PATRICIA,V,GONZALEZ,4836 SUNSET AVE,,KNOXVILLE,TN,37902,1959-06-03,(423)324-5522,F,PATRICIA,V,GONZALEZ,8453 ELM WAY,,NASHVILLE,TN,37201,(423)324-5522,,,,,,,1959-06-03,,,0.0,White,,,2026-05-01,4233245522,4233245522,,,False,TRI:1003105
ACRB,1003107,MARY,,CAMPBELL,642 OAK WAY,,COLUMBUS,OH,43201,2001-09-05,(216)663-6849,F,MARY,,CAMPBELL,3506 CHURCH WAY,,AKRON,OH,44301,(216)663-6849,,,,,,,1996-01-29,,,,White,,MARYCAM10@HOTMAIL.COM,2026-05-01,2166636849,2166636849,,,False,ACRB:1003107
RADZ,1003108,JASON,,HARRIS,1094 AMANA CT,,MIAMI,FL,33101,1995-01-12,(904)828-5547,M,JASON,,HARRIS,6912 OAK AVE,,JACKSONVILLE,FL,32099,(904)828-5547,,,,,,,1995-01-12,C,,1.0,White,,JASONHAR428@HOTMAIL.COM,2026-05-01,9048285547,9048285547,,,False,RADZ:1003108
SMED,1003109,RUTH,,RAMIREZ,9823 PINE CIR,,SAN ANTONIO,TX,78201,1987-09-04,(214)836-8303,F,RUTH,,RAMIREZ,8782 PARK CIR,,FORT WORTH,TX,76101,(512)506-3586,999-19-4601,,,999-18-1107,,,1987-09-04,,,0.0,,,,2026-05-01,2148368303,5125063586,,,False,SMED:1003109
GSIA,1003113,CAROL,Z,MITCHELL,861 AMANA ST,,FORT WORTH,TX,76101,2005-11-27,(214)726-3478,F,CAROL,Z,MITCHELL,8436 MAPLE RD,APT 149,HOUSTON,TX,77001,(214)726-3478,999-68-6948,,,999-33-2925,,,2005-11-27,C,,,Black or African American,Hispanic or Latino,,2026-05-01,2147263478,2147263478,,,False,GSIA:1003113
RADJ,1003115,RUTH,,TORRES,9366 HILL DR,,ORLANDO,FL,32801,1971-12-29,(954)469-1981,F,RUTH,,TORRES,515 CHURCH AVE,,ORLANDO,FL,32801,(954)469-1981,,,,,,,1971-12-29,,,0.0,,,,2026-05-01,9544691981,9544691981,,,False,RADJ:1003115
RADS2,1003119,MATTHEW,W,GONZALEZ,6658 OAK PL,,DALLAS,TX,75201,1990-04-08,,M,MATTHEW,W,GONZALEZ,619 MAPLE LN,,HOUSTON,TX,77001,,,,,,,,1990-04-08,,,0.0,,,,2026-05-01,,,,,False,RADS2:1003119
RADR,1003121,ANTHONY,B,HILL,9714 MAIN ST,,LEBANON,TN,37087,1971-11-25,(865)479-5255,M,ANTHONY,B,HILL,682 SCHOOL WAY,,MURFREESBORO,TN,37128,(865)479-5255,,,,,,,1971-11-25,D,,0.0,White,,,2026-05-01,8654795255,8654795255,,,False,RADR:1003121
NRA,1003124,CHARLES,B,WILLIAMS,3993 CHURCH BLVD,,KNOXVILLE,TN,37902,1954-11-14,(423)810-8772,M,CHARLES,B,WILLIAMS,6821 SCHOOL RD,,FRANKLIN,TN,37064,(423)810-8772,999-10-1534,,,999-10-1534,,,1948-04-15,E,Low,,,,,2026-05-01,4238108772,4238108772,,,False,NRA:1003124
RADB,1003127,JOHN,L,WRIGHT,4029 OAK RD,,DALLAS,TX,75201,1993-07-23,(210)526-6028,M,JOHN,L,WRIGHT,9476 HILL CIR,,FORT WORTH,TX,76101,,999-19-2201,,,999-19-2201,,,1993-07-23,F,,0.0,,,,2026-05-01,2105266028,2105266028,,,False,RADB:1003127
GSIA,1003130,EDWARD,J,KING,1361 SUNSET AVE,,HOUSTON,TX,77001,1997-10-05,(972)872-4972,M,EDWARD,J,KING,5391 CEDAR ST,,AUSTIN,TX,78701,(210)285-3952,999-47-1182,,,999-47-1182,,,1997-10-05,,,0.0,White,,,2026-05-01,9728724972,2102853952,,,False,GSIA:1003130
RADL,1003132,DONALD,R,CAMPBELL,8491 OAK PL,,FRANKLIN,TN,37064,1966-12-29,(615)428-6406,M,DONALD,R,CAMPBELL,8000 MAPLE CT,,MOUNT JULIET,TN,37122,(931)216-9933,999-60-6803,,,999-60-6803,,,1966-12-29,,,,,,,2026-05-01,6154286406,9312169933,,,False,RADL:1003132
IAI,1003135,MICHELLE,,MARTIN,3664 CEDAR LN,,AUSTIN,TX,78701,1959-10-15,(713)324-6483,F,MICHELLE,,MARTIN,4058 MAIN DR,APT 184,PLANO,TX,75023,(713)324-6483,,,,,,,1959-10-15,,,0.0,White,,,2026-05-01,7133246483,7133246483,,,False,IAI:1003135
ESR,1003136,ANGELA,,WRIGHT,5204 HILL DR,,JACKSONVILLE,FL,32099,2003-11-21,(813)290-9168,F,ANGELA,,WRIGHT,9843 MAIN AVE,,FORT LAUDERDALE,FL,33301,(813)290-9168,999-85-6944,,,999-85-6944,,,2003-11-21,,,0.0,Black or African American,,,2026-05-01,8132909168,8132909168,,,False,ESR:1003136
RADU,1003140,RONALD,,CARTER,1566 RIVER BLVD,,ORLANDO,FL,32801,1996-05-16,(561)590-9885,M,RONALD,,CARTER,9901 SPRING AVE,,JACKSONVILLE,FL,32099,(305)446-3318,,,,,,,2006-06-12,F,,0.0,,,,2026-05-01,5615909885,3054463318,,,False,RADU:1003140
RADU,1003143,HELEN,,MARTINEZ,3066 MAPLE ST,,MIAMI,FL,33101,1971-03-13,(954)779-4382,F,HELEN,,MARTINEZ,9314 LAKE RD,,JACKSONVILLE,FL,32099,(954)779-4382,,,,999-81-1059,,,1971-03-13,,,0.0,,,HELENMAR173@OUTLOOK.COM,2026-05-01,9547794382,9547794382,,,False,RADU:1003143
PXP,1003145,RONALD,,WRIGHT,9582 SUNSET LN,,ORLANDO,FL,32801,1976-07-17,(561)929-9538,M,RONALD,,WRIGHT,7060 SPRING RD,,ORLANDO,FL,32801,(561)929-9538,,,,,,,1984-07-27,,,,,,RONALDWRI202@GMAIL.COM,2026-05-01,5619299538,5619299538,,,False,PXP:1003145
RADT,1003146,JOHN,,ROBERTS,2723 ELM CIR,,DAYTON,OH,45401,1981-03-16,(419)730-4539,M,JOHN,,ROBERTS,9313 LAKE BLVD,,CLEVELAND,OH,44101,(614)828-2673,,,,,,,1981-03-16,C,,0.0,White,,,2026-05-01,4197304539,6148282673,,,False,RADT:1003146
RADC,1003149,KENNETH,K,RICE,3712 HILL PL,,CINCINNATI,OH,45201,1986-05-26,(937)786-3937,M,KENNETH,K,RICE,3550 RIVER PL,,CINCINNATI,OH,45201,(330)434-5353,999-32-3074,,,999-95-2628,,,2002-06-22,E,Low,1.0,Asian,,,2026-05-01,9377863937,3304345353,,,False,RADC:1003149
RADU,1003150,BETTY,L,YOUNG,9895 SPRING CT,,MIAMI,FL,33101,1989-12-01,(904)203-6315,F,BETTY,L,YOUNG,1339 AMANA AVE,,FORT LAUDERDALE,FL,33301,,999-25-7186,,,999-25-7186,,,1989-12-01,A,,,White,Hispanic or Latino,BETTYYOU172@AOL.COM,2026-05-01,9042036315,,,,False,RADU:1003150
RADC,1003154,RICHARD,P,GARCIA,3977 HILL CT,,COLUMBUS,OH,43201,1942-12-14,(216)568-7123,M,RICHARD,P,GARCIA,7920 SCHOOL RD,,DAYTON,OH,45401,(216)568-7123,,,,,,,1942-12-14,,,,,,,2026-05-01,2165687123,2165687123,,,False,RADC:1003154
RADF,1003156,JESSICA,R,HALL,3288 PARK BLVD,,RENO,NV,89501,1968-09-13,,F,JESSICA,R,HALL,2577 SCHOOL BLVD,,RENO,NV,89501,(702)819-3356,999-76-2952,,,999-76-2952,,,1964-12-27,C,,1.0,Black or African American,,,2026-05-01,,7028193356,,,False,RADF:1003156
RADE,1003159,KAREN,F,THOMAS,3550 CHURCH CT,,ST PETE,FL,33701,1972-12-15,,F,KAREN,F,THOMAS,9780 HILL DR,,JACKSONVILLE,FL,32099,,,,,,,,,F,Very Low,1.0,,,KARENTHO66@OUTLOOK.COM,2026-05-01,,,,,False,RADE:1003159
GRH,1003163,BETTY,B,TORRES,2075 PINE ST,,MACON,GA,31201,1941-07-09,(678)449-7786,F,BETTY,B,TORRES,5197 CHURCH PL,,MACON,GA,31201,(770)388-5183,,,,,,,1941-07-09,B,High,,,,BETTYTOR360@AOL.COM,2026-05-01,6784497786,7703885183,,,False,GRH:1003163
RADB,1003165,KENNETH,H,KING,5536 SPRING AVE,,DALLAS,TX,75201,1963-05-26,(512)573-3790,M,KENNETH,H,KING,3984 SCHOOL ST,APT 298,HOUSTON,TX,77001,(512)573-3790,,,,,,,1963-05-26,E,,0.0,Black or African American,,,2026-05-01,5125733790,5125733790,,,False,RADB:1003165
PMR,1003167,DEBORAH,,JACKSON,8167 SUNSET CT,,MURFREESBORO,TN,37128,1988-01-02,(931)628-6147,F,DEBORAH,,JACKSON,6926 SUNSET LN,,KNOXVILLE,TN,37902,(931)628-6147,999-79-5303,,,,,,1988-01-02,C,Medium-High,0.0,White,,DEBORAHJAC236@OUTLOOK.COM,2026-05-01,9316286147,9316286147,,,False,PMR:1003167
RADS2,1003170,CYNTHIA,,GARCIA,1313 MAIN DR,,HOUSTON,TX,77001,1961-12-10,(713)658-5567,F,CYNTHIA,,GARCIA,1720 AMANA DR,,DALLAS,TX,75201,(713)658-5567,,,,,,,1961-12-10,,,0.0,,,,2026-05-01,7136585567,7136585567,,,False,RADS2:1003170
CRC,1003171,JESSICA,,FLORES,4134 MAPLE RD,,COLUMBUS,OH,43201,2002-12-10,(937)366-8760,F,JESSICA,,FLORES,4141 ELM WAY,,AKRON,OH,44301,(937)366-8760,,,,,,,2002-12-10,,,1.0,,Not Hispanic,JESSICAFLO511@YAHOO.COM,2026-05-01,9373668760,9373668760,,,False,CRC:1003171
RADI2,1003174,RONALD,Z,THOMPSON,6301 PARK ST,,TOLEDO,OH,43601,1953-02-18,(937)688-5824,M,RONALD,Z,THOMPSON,8984 PINE AVE,,COLUMBUS,OH,43201,,999-20-9335,,,999-20-9335,,,1973-02-12,E,Low,0.0,Black or African American,,RONALDTHO531@GMAIL.COM,2026-05-01,9376885824,,,,False,RADI2:1003174
WRAD,1003178,LISA,K,THOMPSON,1294 MAPLE PL,,CARSON CITY,NV,89701,1964-10-14,,F,LISA,K,THOMPSON,2921 SPRING DR,APT 299,SPARKS,NV,89431,,,,,,,,1964-10-14,E,Low,0.0,White,,,2026-05-01,,,,,False,WRAD:1003178
RADS,1003182,JOSEPH,,CLARK,7957 RIVER CT,,MURFREESBORO,TN,37128,1997-07-15,(865)681-9632,M,JOSEPH,,CLARK,768 PARK CIR,,MOUNT JULIET,TN,37122,(901)736-0377,,,,,,,1997-07-15,D,Medium,,Hispanic,,,2026-05-01,8656819632,9017360377,,,False,RADS:1003182
RADS,1003184,MATTHEW,,HILL,9110 PINE PL,,MURFREESBORO,TN,37128,1948-11-08,,M,MATTHEW,,HILL,4236 RIVER CIR,,FRANKLIN,TN,37064,(901)223-2690,,,,,,,1962-06-17,A,,1.0,,,,2026-05-01,,9012232690,,,False,RADS:1003184
RADC,1003188,PATRICIA,N,KING,4130 ELM ST,,DAYTON,OH,45401,1972-05-03,,F,PATRICIA,N,KING,8644 RIVER AVE,,CLEVELAND,OH,44101,,,,,,,,1972-05-03,,,0.0,Hispanic,,,2026-05-01,,,,,False,RADC:1003188
RADQ,1003191,MARK,G,SCOTT,9950 LAKE RD,,LAS VEGAS,NV,89101,1986-06-01,(725)283-8766,M,MARK,G,SCOTT,3576 MAIN DR,,NORTH LAS VEGAS,NV,89030,(725)283-8766,,,,,,,1986-06-01,E,,0.0,,,MARKSCO937@AOL.COM,2026-05-01,7252838766,7252838766,,,False,RADQ:1003191
CRC,1003192,THOMAS,,SANCHEZ,610 PARK LN,,COLUMBUS,OH,43201,1997-04-11,(614)801-1429,M,THOMAS,,SANCHEZ,9209 LAKE WAY,,COLUMBUS,OH,43201,,,,,,,,1997-04-11,C,Medium-High,0.0,,Not Hispanic,,2026-05-01,6148011429,,,,False,CRC:1003192
RADI,1003195,EDWARD,,LEE,1996 CEDAR DR,,SAVANNAH,GA,31401,1949-03-02,(706)300-6998,M,EDWARD,,LEE,9490 SUNSET CT,,MACON,GA,31201,,999-80-2926,,,,,,1955-06-28,F,Very Low,0.0,,,EDWARDLEE450@AOL.COM,2026-05-01,7063006998,7063006998,,,False,RADI:1003195
CIRPA,1003199,ROBERT,R,ANDERSON,1164 PINE RD,,JACKSONVILLE,FL,32099,1947-04-13,(904)953-9528,M,ROBERT,R,ANDERSON,5746 PARK CIR,,TAMPA,FL,33601,(904)953-9528,,,,999-97-7057,,,1992-04-12,,,0.0,White,,,2026-05-01,9049539528,9049539528,,,False,CIRPA:1003199
RADC,1003203,CHARLES,,CARTER,6484 CEDAR ST,,COLUMBUS,OH,43201,2006-06-26,(513)258-1038,M,CHARLES,,CARTER,5104 CHURCH RD,,CLEVELAND,OH,44101,(330)918-3783,,,,,,,1950-07-04,C,,0.0,,,,2026-05-01,5132581038,3309183783,,,False,RADC:1003203
RADI,1003205,BRIAN,M,JONES,4906 CHURCH WAY,,ATLANTA,GA,30301,2006-06-28,(706)547-9076,M,BRIAN,M,JONES,9735 SUNSET ST,,ATLANTA,GA,30301,(478)447-0708,,,,999-10-4301,,,2006-06-28,A,,0.0,Asian,,,2026-05-01,7065479076,4784470708,,,False,RADI:1003205
TRI,1003206,CYNTHIA,K,MILLER,4703 CHURCH RD,,MURFREESBORO,TN,37128,1941-09-21,(931)488-5964,F,CYNTHIA,K,MILLER,2328 SCHOOL CIR,,KNOXVILLE,TN,37902,(931)488-5964,,,,,,,1941-09-21,A,,0.0,White,,,2026-05-01,9314885964,9314885964,,,False,TRI:1003206
RADP,1003210,LISA,N,WILLIAMS,2402 SCHOOL LN,,SAVANNAH,GA,31401,1996-06-27,(404)896-1874,F,LISA,N,WILLIAMS,1219 AMANA AVE,,ATLANTA,GA,30301,(404)784-1356,,,,999-65-2679,,,1965-12-04,B,High,0.0,,,,2026-05-01,4048961874,4047841356,,,False,RADP:1003210
RADI,1003214,PATRICIA,,RODRIGUEZ,2700 PARK RD,,COLUMBUS,GA,31901,2004-08-26,(404)241-5282,F,PATRICIA,,RODRIGUEZ,4622 RIVER BLVD,,AUGUSTA,GA,30901,(404)241-5282,999-76-3485,,,999-76-3485,,,2004-08-26,,,0.0,,,PATRICIAROD811@YAHOO.COM,2026-05-01,4042415282,4042415282,,,False,RADI:1003214
GRH,1003217,MARY,D,ALLEN,3117 HILL ST,,COLUMBUS,GA,31901,1984-10-15,(678)889-5294,F,MARY,D,ALLEN,6942 ELM CT,,AUGUSTA,GA,30901,(678)263-0173,,,,,,,1978-02-07,C,Medium-High,0.0,,Not Hispanic,,2026-05-01,6788895294,6782630173,,,False,GRH:1003217
RADC,1003220,DOROTHY,,THOMAS,5419 LAKE LN,,CLEVELAND,OH,44101,1966-08-12,(937)689-5807,F,DOROTHY,,THOMAS,5613 LAKE CT,,CLEVELAND,OH,44101,(937)689-5807,999-72-3842,,,999-72-3842,,,1966-08-12,,,,,,DOROTHYTHO669@OUTLOOK.COM,2026-05-01,9376895807,9376895807,,,False,RADC:1003220
RADJ,1003221,NANCY,,TAYLOR,7978 PARK ST,,ORLANDO,FL,32801,1967-09-09,(813)414-2473,F,NANCY,,TAYLOR,9947 HILL CIR,,FORT LAUDERDALE,FL,33301,(813)454-3097,999-74-5458,,,999-74-5458,,,1967-09-09,,,0.0,,,,2026-05-01,8134142473,8134543097,,,False,RADJ:1003221
